noise_scale,epoch,train_loss,val_loss,denoise_train,denoise_val,lr
0.0,1,5.719924375192443,4.9548168522971014,0.013078219333746985,0.006059639821095126,9.931634888554937e-05
0.0,2,3.600757456537503,3.5119428975241527,0.008871582712032903,0.02022542937525681,9.728616793536588e-05
0.0,3,2.984592558732673,3.131903188569205,0.014521518680475541,0.01501247872199331,9.397114317029975e-05
0.0,4,2.7591771545694836,3.020865253039769,0.014690218270937009,0.018730536103248596,8.9471999940354e-05
0.0,5,2.5613703158364367,2.695647818701608,0.0146702489634948,0.018934063613414764,8.392544243589426e-05
0.0,6,2.319510121843708,2.450149621282305,0.014286964686948862,0.020428265844072615,7.749999999999999e-05
0.0,7,2.035783817519003,2.3701020308903287,0.021405290228439802,0.033129681433950155,7.039090644965509e-05
0.0,8,1.8266879231182498,1.9972704648971558,0.0332273334375958,0.04905363491603306,6.281416799501186e-05
0.0,9,1.6016156406544928,1.8693866900035314,0.042102978689901864,0.06618663455758776,5.499999999999999e-05
0.0,10,1.4876091017651913,1.8336403369903564,0.050896592215815585,0.061359310788767676,4.718583200498813e-05
0.0,11,1.349663328768602,1.764708740370614,0.04476715618772293,0.07128872722387314,3.960909355034492e-05
0.0,12,1.269236822626484,1.660771301814488,0.04829461099718934,0.06737978862864631,3.250000000000001e-05
0.0,13,1.1863817065509397,1.618395447731018,0.05018572331364475,0.0650033141885485,2.6074557564105733e-05
0.0,14,1.1535724597190744,1.5560473033360072,0.04896040744523504,0.06900500293288912,2.0528000059645997e-05
0.0,15,1.105503950546037,1.5404612507138933,0.047999338427586344,0.06906842227493014,1.602885682970027e-05
0.0,16,1.0739719449584164,1.5110129458563668,0.04725247204526147,0.06596331617661885,1.2713832064634127e-05
0.0,17,1.0504071694701465,1.499136311667306,0.04730052678887524,0.06705881442342486,1.068365111445064e-05
0.0,18,1.023724662723826,1.5121981416429793,0.047447615261398145,0.06560370538915906,1e-05
0.01,1,6.4634251665713185,6.451016017368862,1.1518588208440523,1.0291699171066284,9.846666218300807e-05
0.01,2,5.239780404674473,6.509032760347639,0.9347023519117441,0.8180979405130658,9.397114317029975e-05
0.01,3,4.979533231080468,6.732394286564419,0.7411931851016942,0.6769872563225883,8.681980515339464e-05
0.01,4,4.790670505210535,6.599718604769025,0.6529348216839691,0.6222449115344456,7.75e-05
0.01,5,4.557790870097146,6.808593170983451,0.6097008274562323,0.593551482473101,6.664685702961344e-05
0.01,6,4.497190222811343,6.747312137058803,0.5788946783364709,0.566960300718035,5.5e-05
0.01,7,4.30658590971534,6.634005069732666,0.5580184584233299,0.5465783221381051,4.335314297038657e-05
0.01,8,4.111539840698242,6.485964366367885,0.5423507218930259,0.5287277826241085,3.250000000000001e-05
0.02,1,5.299766298550279,6.416930573327201,0.9704816990823888,0.8883259296417236,9.846666218300807e-05
0.02,2,5.022684389085912,6.789381333759853,0.8455751894125297,0.7788448759487697,9.397114317029975e-05
0.02,3,4.843565371499133,6.500297478267124,0.7254205630786383,0.6721228190830776,8.681980515339464e-05
0.02,4,4.6592902567849235,6.4632126944405695,0.6501557435562362,0.599055358341762,7.75e-05
0.02,5,4.482097195155585,6.479694366455078,0.568543031144498,0.5406644429479327,6.664685702961344e-05
0.02,6,4.300682409485774,6.16288457598005,0.539618181648539,0.5331614187785557,5.5e-05
0.02,7,4.209956475158236,6.426291738237653,0.5278586273762718,0.5227908917835781,4.335314297038657e-05
0.02,8,4.013759634388027,6.576270580291748,0.5140773089074376,0.4984749470438276,3.250000000000001e-05
0.02,9,3.8608298159357326,6.2957868576049805,0.49282689770655846,0.48593311650412424,2.3180194846605367e-05
0.02,10,3.755143179822324,6.360216379165649,0.4827556908130646,0.47730680874415804,1.602885682970026e-05
0.02,11,3.6683466078630134,6.335561411721366,0.47481978295454336,0.4681073342050825,1.1533337816991932e-05
0.02,12,3.6081715662087968,6.391326359340122,0.46616095793781,0.4622945359774998,1e-05
0.05,1,5.218911548159015,6.29755357333592,0.5073617225262657,0.45744807379586355,9.846666218300807e-05
0.05,2,4.980708349996538,6.322734526225498,0.4533600464685639,0.4218559776033674,9.397114317029975e-05
0.05,3,4.851910021767687,6.293137175696237,0.41722841049308207,0.39036996449743,8.681980515339464e-05
0.05,4,4.624378962303275,6.257669959749494,0.3922519901795174,0.36850620167596,7.75e-05
0.05,5,4.38392442731715,6.243315390178135,0.37167690360724037,0.34749833175114225,6.664685702961344e-05
0.05,6,4.199215187955258,6.199392829622541,0.35505408226554075,0.3397436227117266,5.5e-05
0.05,7,3.9940633133276187,6.2594022410256525,0.34571976937464816,0.3294216138975961,4.335314297038657e-05
0.05,8,3.812495146224748,6.395190613610404,0.336641464215606,0.32171663641929626,3.250000000000001e-05
0.05,9,3.7108632094824494,6.176333870206561,0.33074943254243083,0.3187950849533081,2.3180194846605367e-05
0.05,10,3.5909684024639983,6.298666817801339,0.32789336389570095,0.3155865839549473,1.602885682970026e-05
0.05,11,3.5174922089078535,6.282539980752127,0.3244027482039893,0.3143420560019357,1.1533337816991932e-05
0.05,12,3.4768084696869352,6.257519619805472,0.3241152692196974,0.31425129090036663,1e-05
