noise_scale,epoch,train_loss,val_loss,lr,noise_condition_value
0.0,1,5.944687807737892,5.4422517504010886,9.961501876182148e-05,0.0
0.0,2,3.9492296318509688,3.7295433453151157,9.846666218300808e-05,0.0
0.0,3,3.127240348218092,3.4137938363211497,9.657457896300791e-05,0.0
0.0,4,2.809792952751046,3.0533013343811035,9.397114317029975e-05,0.0
0.0,5,2.5544459784208837,2.732977730887277,9.070090031310558e-05,0.0
0.0,6,2.366785492470015,2.5473436628069197,8.681980515339464e-05,0.0
0.0,7,2.179087535658879,2.4038652181625366,8.239426430539243e-05,0.0
0.0,8,1.9155880888896202,2.1540352446692332,7.75e-05,0.0
0.0,9,1.7586562277665778,2.083009260041373,7.222075445642904e-05,0.0
0.0,10,1.5894234820977966,1.9545949867793493,6.664685702961343e-05,0.0
0.0,11,1.4674066145028641,1.933379054069519,6.0873678649902325e-05,0.0
0.0,12,1.414438261914609,1.824032187461853,5.4999999999999995e-05,0.0
0.0,13,1.318685698865065,1.6668545348303658,4.912632135009767e-05,0.0
0.0,14,1.2458932399749756,1.6467518636158534,4.3353142970386564e-05,0.0
0.0,15,1.189675420077879,1.59349981376103,3.777924554357097e-05,0.0
0.0,16,1.1411208857351274,1.6246216637747628,3.250000000000001e-05,0.0
0.0,17,1.092661866501196,1.5427109513963972,2.7605735694607574e-05,0.0
0.0,18,1.065949518289139,1.518805946622576,2.3180194846605367e-05,0.0
0.0,19,1.051400963050216,1.5346582617078508,1.9299099686894426e-05,0.0
0.0,20,1.0213353117900108,1.4837875195911951,1.602885682970026e-05,0.0
0.0,21,1.0109669059070188,1.4700582027435303,1.3425421036992097e-05,0.0
0.0,22,0.9840328995861224,1.528478401047843,1.153333781699193e-05,0.0
0.0,23,0.974673324556493,1.4688678468976701,1.0384981238178534e-05,0.0
0.0,24,0.9584459137560716,1.456678867340088,1e-05,0.0
0.01,1,6.273756496941865,6.209691286087036,8.898458044336385e-05,0.19999999999999998
0.01,2,5.043610700920446,6.181479317801339,8.598923915004797e-05,0.19999999999999998
0.01,3,4.909687949650324,6.278732061386108,8.116417503995521e-05,0.19999999999999998
0.01,4,4.740368949833201,6.339939287730625,7.475133697527871e-05,0.19999999999999998
0.01,5,4.616941217166274,6.321270227432251,6.707229143426111e-05,0.19999999999999998
0.01,6,4.507235790366557,6.295593534197126,5.8512097825230736e-05,0.19999999999999998
0.01,7,4.358135493833627,6.2842812197549005,4.9500000000000004e-05,0.19999999999999998
0.01,8,4.246172848032482,6.34740948677063,4.048790217476927e-05,0.19999999999999998
0.01,9,4.119763509551091,6.288135664803641,3.19277085657389e-05,0.19999999999999998
0.01,10,4.022560219266522,6.274982827050345,2.4248663024721296e-05,0.19999999999999998
0.02,1,5.164483604146473,6.197984899793353,8.404099264095476e-05,0.39999999999999997
0.02,2,4.974284029718655,6.178959574018206,8.121205919726754e-05,0.39999999999999997
0.02,3,4.902719383809104,6.245882511138916,7.665505420440216e-05,0.39999999999999997
0.02,4,4.860893740582822,6.26437064579555,7.059848492109658e-05,0.39999999999999997
0.02,5,4.834488121431265,6.295846087591989,6.334605302124661e-05,0.39999999999999997
0.02,6,4.739961444441952,6.3258324691227505,5.526142572382904e-05,0.39999999999999997
0.02,7,4.694386026752529,6.369535071509225,4.675000000000001e-05,0.39999999999999997
0.02,8,4.568653853971567,6.447666576930454,3.8238574276170985e-05,0.39999999999999997
0.02,9,4.450132697375853,6.494607107979911,3.015394697875341e-05,0.39999999999999997
0.02,10,4.354197480785313,6.508476972579956,2.290151507890345e-05,0.39999999999999997
0.05,1,5.0064142497617805,6.152827296938215,7.909740483854565e-05,1.0
0.05,2,4.958336609513013,6.113062688282558,7.64348792444871e-05,1.0
0.05,3,4.905711622380498,6.080502067293439,7.214593336884908e-05,1.0
0.05,4,4.8948083564416685,6.101318291255406,6.644563286691441e-05,1.0
0.05,5,4.875094235833012,6.133175611495972,5.961981460823209e-05,1.0
0.05,6,4.798699521306736,6.082452569689069,5.201075362242732e-05,1.0
0.05,7,4.760772121486379,6.2154480048588345,4.4e-05,1.0
0.05,8,4.73102841448428,6.224738734109061,3.598924637757268e-05,1.0
0.05,9,4.679033841659773,6.191530636378697,2.8380185391767905e-05,1.0
0.05,10,4.642088221080267,6.281903266906738,2.1554367133085594e-05,1.0
0.05,11,4.585593024296547,6.255373103278024,1.585406663115094e-05,1.0
