epoch,lr,train_loss,val_loss
1,9.96057350657239e-05,1.4065316494773417,6.681046009063721
2,9.842915805643155e-05,1.299240932745092,6.064305305480957
3,9.648882429441257e-05,1.203192058731528,5.2641143798828125
4,9.381533400219318e-05,1.0954157815260046,4.2705464363098145
5,9.045084971874738e-05,0.9757972990765291,3.1431620121002197
6,8.644843137107059e-05,0.8526475394473356,2.041207790374756
7,8.18711994874345e-05,0.7395602710106793,1.185779333114624
8,7.679133974894983e-05,0.6475492154850679,0.7182428240776062
9,7.128896457825363e-05,0.5751755167456234,0.5607709884643555
10,6.545084971874737e-05,0.5102372151963851,0.5287783145904541
11,5.936906572928624e-05,0.44599072898135467,0.5284014940261841
12,5.313952597646568e-05,0.3860731054754818,0.5460585951805115
13,4.6860474023534335e-05,0.3354355903232799,0.5735525488853455
14,4.0630934270713774e-05,0.2958940179908977,0.598881721496582
15,3.454915028125265e-05,0.2667166187482722,0.6152130961418152
16,2.871103542174637e-05,0.24618207707124598,0.6229504942893982
17,2.3208660251050158e-05,0.2322065795169157,0.6249943971633911
