training_mode,seed,noise_scale,layer,rmse,mae,bias,nrmse,r2,corr,fit_slope,fit_intercept,forward_residual_rmse,best_val_loss
hybrid_sg_emphasis_ema_multiseed_validation,7,0.0,S0,7.2242045402526855,5.390115261077881,0.6055322289466858,0.11707206714602918,0.015800535678863525,0.21757202454596658,0.013197271443101961,0.6054453157173245,7.183979050751077e-06,8.057740620204381
hybrid_sg_emphasis_ema_multiseed_validation,7,0.0,Sg,7.543818473815918,5.577625751495361,-0.08095011115074158,0.12617780050071276,0.057608187198638916,0.4453377239926113,0.03133351385426206,-0.08063507442622328,7.183979050751077e-06,8.057740620204381
hybrid_sg_emphasis_ema_multiseed_validation,7,0.01,S0,7.30875825881958,5.457293510437012,0.56020188331604,0.11844230501268345,-0.007372736930847168,0.018729615417845378,0.0011466289643020395,0.5601138891299068,0.0005812027375213802,8.760650839124407
hybrid_sg_emphasis_ema_multiseed_validation,7,0.01,Sg,7.81872034072876,5.771676540374756,-0.06343771517276764,0.13077580521689153,-0.01232600212097168,-0.045724941778373385,-0.0033867360792860643,-0.06311130914702241,0.0005812027375213802,8.760650839124407
hybrid_sg_emphasis_ema_multiseed_validation,7,0.02,S0,7.322643280029297,5.466446876525879,0.5268058776855469,0.11866731914764192,-0.011204004287719727,-0.009036829669592076,-0.0006213532001412931,0.5267177322048983,0.0011647754581645131,8.338910988398961
hybrid_sg_emphasis_ema_multiseed_validation,7,0.02,Sg,7.7992753982543945,5.764122009277344,-0.06435149908065796,0.13045056938562194,-0.007297039031982422,0.0015325688141208061,0.00013267009196408925,-0.06402621469394136,0.0011647754581645131,8.338910988398961
hybrid_sg_emphasis_ema_multiseed_validation,7,0.05,S0,7.328455924987793,5.474902153015137,0.5001010894775391,0.11876151614290767,-0.012810111045837402,-0.01612764404390909,-0.0012139529662890422,0.5000128647753537,0.002913507865741849,7.854921681540353
hybrid_sg_emphasis_ema_multiseed_validation,7,0.05,Sg,7.846396446228027,5.796065330505371,-0.07152952253818512,0.13123871536384749,-0.01950550079345703,-0.048030015273258946,-0.0047728852337694805,-0.07120263863919091,0.002913507865741849,7.854921681540353
hybrid_sg_emphasis_ema_multiseed_validation,21,0.0,S0,7.199723720550537,5.335901260375977,0.08357681334018707,0.11667534247523802,0.02245962619781494,0.21995752954792205,0.013057716673274076,0.08348986982044469,7.069640560075641e-06,8.494915212903704
hybrid_sg_emphasis_ema_multiseed_validation,21,0.0,Sg,7.620380401611328,5.631256103515625,-0.4433349072933197,0.12745837421611297,0.03838247060775757,0.33197179727729154,0.023276716090694358,-0.4430171708627407,7.069640560075641e-06,8.494915212903704
hybrid_sg_emphasis_ema_multiseed_validation,21,0.01,S0,7.290352821350098,5.406816482543945,0.07148896902799606,0.11814403513407284,-0.0023055076599121094,0.012469656531437789,0.0007618815018161257,0.0714009327147369,0.0005818448844365776,9.227342333112444
hybrid_sg_emphasis_ema_multiseed_validation,21,0.01,Sg,7.814754009246826,5.771978378295898,-0.47954893112182617,0.13070946441293604,-0.0112992525100708,-0.016312225590711188,-0.0011706055114709512,-0.4792232610184836,0.0005818448844365776,9.227342333112444
