noise_scale,epoch,train_loss,val_loss,weight_mean_train,weight_mean_val,lr
0.0,1,4.725468016382473,4.118025439126151,1.0,1.0,9.931634888554937e-05
0.0,2,3.095149566878134,2.9459638254983083,1.0,1.0,9.728616793536588e-05
0.0,3,2.42702925383155,2.8348894119262695,1.0,1.0,9.397114317029975e-05
0.0,4,2.30528680957965,2.3798613037381853,1.0,1.0,8.9471999940354e-05
0.0,5,2.154133198866204,2.2853569984436035,1.0,1.0,8.392544243589426e-05
0.0,6,2.027421403287062,2.2296013150896346,1.0,1.0,7.749999999999999e-05
0.0,7,1.8292107582092285,1.9558625391551427,1.0,1.0,7.039090644965509e-05
0.0,8,1.6048200557480996,1.8506640195846558,1.0,1.0,6.281416799501186e-05
0.0,9,1.4452237033132296,1.6782004492623466,1.0,1.0,5.499999999999999e-05
0.0,10,1.3720713907213353,1.634860634803772,1.0,1.0,4.718583200498813e-05
0.0,11,1.3111784725046869,1.6840272971561976,1.0,1.0,3.960909355034492e-05
0.0,12,1.2662696411360557,1.5637007781437464,1.0,1.0,3.250000000000001e-05
0.0,13,1.2075281961640316,1.6356442315237862,1.0,1.0,2.6074557564105733e-05
0.0,14,1.181094349320255,1.5560523101261683,1.0,1.0,2.0528000059645997e-05
0.0,15,1.1172014777340107,1.5102493422372,1.0,1.0,1.602885682970027e-05
0.0,16,1.0904606473979666,1.5092019864491053,1.0,1.0,1.2713832064634127e-05
0.0,17,1.0598157430762676,1.5072582108633858,1.0,1.0,1.068365111445064e-05
0.0,18,1.0465371217300643,1.4849362203053065,1.0,1.0,1e-05
0.01,1,4.256900758885625,4.455429485866001,1.0000000231301607,1.0365267481122697,9.846666218300807e-05
0.01,2,3.717591100664281,4.465332201548985,1.0000000338056194,1.0365267481122697,9.397114317029975e-05
0.01,3,3.6378937265766202,4.349227837153843,1.0000000302471332,1.0365267481122697,8.681980515339464e-05
0.01,4,3.455792074772849,4.333097764423916,1.0000000391433488,1.0365267481122697,7.75e-05
0.01,5,3.3473945731547343,4.337204422269549,1.0000000498188075,1.0365267481122697,6.664685702961344e-05
0.01,6,3.278163518478621,4.321352107184274,1.0000000587150233,1.0365267481122697,5.5e-05
0.01,7,3.16337934892569,4.269154361316136,1.000000036474484,1.0365267481122697,4.335314297038657e-05
0.01,8,3.095093093701263,4.379342709268842,1.000000040922592,1.0365267481122697,3.250000000000001e-05
0.01,9,3.0320561483724795,4.35958514894758,1.0000000471499428,1.0365267481122697,2.3180194846605367e-05
0.01,10,2.986106374370518,4.334429281098502,1.0000000355848626,1.0365267481122697,1.602885682970026e-05
0.01,11,2.951004494482012,4.344941411699567,1.00000002846789,1.0365267481122697,1.1533337816991932e-05
0.01,12,2.896305397375306,4.348766939980643,1.00000002846789,1.0365267481122697,1e-05
0.02,1,3.582476267174109,4.146553686686924,1.000000081845184,0.9971635852541242,9.846666218300807e-05
0.02,2,3.3433723165028133,4.078297785350254,1.0000000854036701,0.9971635852541242,9.397114317029975e-05
0.02,3,3.2288148296413137,4.1133850642613,1.0000000969687504,0.9971635852541242,8.681980515339464e-05
0.02,4,3.109289624797764,4.211502926690238,1.0000000747282114,0.9971635852541242,7.75e-05
0.02,5,3.046675931161909,4.241732665470669,1.0000001014168582,0.9971635852541242,6.664685702961344e-05
0.02,6,2.949441991635223,4.217542137418475,1.0000000960791289,0.9971635852541242,5.5e-05
0.02,7,2.851794207274024,4.247201783316476,1.0000000649423741,0.9971635852541242,4.335314297038657e-05
0.02,8,2.787869218570083,4.318034989493234,1.0000000729489682,0.9971635852541242,3.250000000000001e-05
0.02,9,2.7238225865719925,4.257337876728603,1.0000000765074546,0.9971635852541242,2.3180194846605367e-05
0.05,1,3.5869720942938508,4.081370285579136,0.999999985766055,1.0003791196005685,9.846666218300807e-05
0.05,2,3.4099869087560855,4.131740536008563,1.0000000017792432,1.0003791196005685,9.397114317029975e-05
0.05,3,3.2996765499684346,4.201185771397182,1.0000000017792432,1.0003791196005685,8.681980515339464e-05
0.05,4,3.1949825108940924,3.9741570268358504,0.9999999893245413,1.0003791196005685,7.75e-05
0.05,5,3.075009918924588,3.922773156847273,1.0000000008896215,1.0003791196005685,6.664685702961344e-05
0.05,6,3.001426881818629,3.791116714477539,1.0000000071169726,1.0003791196005685,5.5e-05
0.05,7,2.950275652444185,3.8048878397260393,0.9999999866556766,1.0003791196005685,4.335314297038657e-05
0.05,8,2.8575287185498137,3.805499792098999,1.0000000088962155,1.0003791196005685,3.250000000000001e-05
0.05,9,2.7981300709852532,3.861835615975516,0.9999999928830275,1.0003791196005685,2.3180194846605367e-05
0.05,10,2.7710269102409706,3.653488806315831,1.0000000035584862,1.0003791196005685,1.602885682970026e-05
0.05,11,2.7134771453800486,3.6598576477595737,0.9999999964415137,1.0003791196005685,1.1533337816991932e-05
0.05,12,2.681858165940242,3.7728136607578824,1.0000000088962155,1.0003791196005685,1e-05
