noise_scale,epoch,train_loss,val_loss,aux_train,aux_val,lr
0.0,1,5.820870185965922,5.360501936503819,0.8363175071887116,0.8073297696454185,9.931634888554937e-05
0.0,2,3.698718085217832,3.606174979891096,0.38644999532557245,0.3097802038703646,9.728616793536588e-05
0.0,3,3.0408612293983572,3.1452154772622243,0.1657607317415636,0.15252145592655456,9.397114317029975e-05
0.0,4,2.746206497078511,2.9763524191720143,0.08073732306930556,0.08546869483377252,8.9471999940354e-05
0.0,5,2.473643117876195,2.5787197181156705,0.05700624261551829,0.08646400166409356,8.392544243589426e-05
0.0,6,2.367921800755743,2.4367304018565585,0.04841678689664869,0.05706621413784368,7.749999999999999e-05
0.0,7,2.059258624688903,2.353911740439279,0.03819287407086856,0.05606160153235708,7.039090644965509e-05
0.0,8,1.857896562832505,2.0534944364002774,0.03511127112294311,0.049989478928702216,6.281416799501186e-05
0.0,9,1.7226745512948107,2.031268221991403,0.03256851473628585,0.04746279260143638,5.499999999999999e-05
0.0,10,1.7407654506057055,1.9168431077684676,0.031020190066366055,0.04266849000539098,4.718583200498813e-05
0.0,11,1.5314029953373012,1.8681340047291346,0.029756810599521025,0.04239384936434882,3.960909355034492e-05
0.0,12,1.4456925338773585,1.8115769454411097,0.029275637731623293,0.04119868243911436,3.250000000000001e-05
0.0,13,1.390395970486883,1.7588869333267212,0.028588687250418448,0.03971703111061028,2.6074557564105733e-05
0.0,14,1.3352342932971555,1.7368748869214738,0.028112301630760308,0.03900310370538916,2.0528000059645997e-05
0.0,15,1.3047447329136863,1.7076869862420219,0.027709439202253498,0.038529734393315654,1.602885682970027e-05
0.0,16,1.26888947344538,1.6996220179966517,0.02734904369311546,0.03807298333517143,1.2713832064634127e-05
0.0,17,1.238985228894362,1.6621781928198678,0.02709424306652439,0.03738654444792441,1.068365111445064e-05
0.0,18,1.2163595975334964,1.6652387721197945,0.026912330163281355,0.037153650008674176,1e-05
0.01,1,5.972095062483603,6.070533888680594,0.19957601623748666,0.18166920116969518,9.846666218300807e-05
0.01,2,5.071177930974248,6.082641567502703,0.17369379347829678,0.17257165483066014,9.397114317029975e-05
0.01,3,4.912824040028586,6.1121914727347235,0.16674620736001142,0.16406791550772531,8.681980515339464e-05
0.01,4,4.6784008937095525,6.235332250595093,0.1586189247778992,0.15805970770972116,7.75e-05
0.01,5,4.478601427220586,6.301324503762381,0.15453749806133668,0.1543936367545809,6.664685702961344e-05
0.01,6,4.233627888693738,6.444614955357143,0.15236596696412386,0.15280289947986603,5.5e-05
0.01,7,4.039410484370901,6.574930497578213,0.15105821281226714,0.15198221376964025,4.335314297038657e-05
0.01,8,3.885208489289924,6.575042758669172,0.15007381363591152,0.15076866745948792,3.250000000000001e-05
0.02,1,5.1937471503642065,6.026090724127633,0.1696199785862396,0.16208837500640325,9.846666218300807e-05
0.02,2,5.031357765197754,5.990761075701032,0.15829136789734685,0.15541771054267883,9.397114317029975e-05
0.02,3,4.903586330698498,5.991963114057269,0.15274185453777883,0.15162254657064164,8.681980515339464e-05
0.02,4,4.749544471057494,6.099191393171038,0.1486704107095946,0.14803323788302286,7.75e-05
0.02,5,4.571072130060908,6.287783077784947,0.14651451938187898,0.14629983050482614,6.664685702961344e-05
0.02,6,4.438756174115992,6.223245859146118,0.14450186624455807,0.14422340265342168,5.5e-05
0.02,7,4.28558519705018,6.269927433558872,0.14262990008539228,0.1429339817592076,4.335314297038657e-05
0.02,8,4.14996620078585,6.580726385116577,0.14169428464192063,0.14241074238504683,3.250000000000001e-05
0.02,9,4.014403307615821,6.388566085270473,0.14047893325784314,0.1405953594616481,2.3180194846605367e-05
0.05,1,5.116721174610195,5.997364316667829,0.15485817950163314,0.15592738560267858,9.846666218300807e-05
0.05,2,4.962307033254139,6.001507384436471,0.14965152740478516,0.14953801887375967,9.397114317029975e-05
0.05,3,4.875744563430103,5.9299154962812155,0.14490948750901578,0.14434867245810373,8.681980515339464e-05
0.05,4,4.783497436722713,5.9013683795928955,0.1414046487701473,0.1407378145626613,7.75e-05
0.05,5,4.6110993214507605,5.92412543296814,0.13850034195095745,0.1388080311673028,6.664685702961344e-05
0.05,6,4.464812791169579,5.911889927727835,0.1361643178249473,0.1355035262448447,5.5e-05
0.05,7,4.350126391026511,5.9122868946620395,0.13419643489282523,0.13354410443987166,4.335314297038657e-05
0.05,8,4.212352695749767,5.970350640160697,0.13225634240392428,0.1317880323954991,3.250000000000001e-05
0.05,9,4.0912101873710975,5.936802080699375,0.1307947190839853,0.13067114778927394,2.3180194846605367e-05
0.05,10,4.014146039735025,5.939934355872018,0.1300545457138944,0.12982483208179474,1.602885682970026e-05
0.05,11,3.9433992015781687,5.921765123094831,0.12908820385363565,0.12912605702877045,1.1533337816991932e-05
