noise_scale,epoch,train_loss,val_loss,lr
0.0,1,5.94083482116016,5.679639032908848,9.931634888554937e-05
0.0,2,3.983002491851351,3.8464002268654958,9.728616793536588e-05
0.0,3,3.089343078100859,3.251486199242728,9.397114317029975e-05
0.0,4,2.7768317336466777,3.0051092079707553,8.9471999940354e-05
0.0,5,2.586829818896393,2.8216240406036377,8.392544243589426e-05
0.0,6,2.3940426413692646,2.5564800330570767,7.749999999999999e-05
0.0,7,2.244433419028325,2.4167113644736156,7.039090644965509e-05
0.0,8,2.0892070763146697,2.251700282096863,6.281416799501186e-05
0.0,9,1.9254300345235795,2.179885540689741,5.499999999999999e-05
0.0,10,1.7372201360873323,2.1451005254473006,4.718583200498813e-05
0.0,11,1.6663593427458805,2.034597090312413,3.960909355034492e-05
0.0,12,1.5608723821924693,1.9551961421966553,3.250000000000001e-05
0.0,13,1.4884493706831292,1.9886417559215002,2.6074557564105733e-05
0.0,14,1.4202517182079715,1.8889192172459193,2.0528000059645997e-05
0.0,15,1.3621538628393144,1.8509079558508736,1.602885682970027e-05
0.0,16,1.3138392647700523,1.8528022595814295,1.2713832064634127e-05
0.0,17,1.283686427927729,1.8126206227711268,1.068365111445064e-05
0.0,18,1.2572122153951162,1.7808659417288644,1e-05
0.01,1,5.924968562909027,6.39521861076355,9.846666218300807e-05
0.01,2,5.035259901587643,6.1422527858189175,9.397114317029975e-05
0.01,3,4.931283957922637,6.1411068098885675,8.681980515339464e-05
0.01,4,4.835720467923292,6.187908002308437,7.75e-05
0.01,5,4.666615756589975,6.212286302021572,6.664685702961344e-05
0.01,6,4.546119547601956,6.2577822889600485,5.5e-05
0.01,7,4.451532584517749,6.193996872220721,4.335314297038657e-05
0.01,8,4.287799219586956,6.24220153263637,3.250000000000001e-05
0.01,9,4.148889502482628,6.286836590085711,2.3180194846605367e-05
0.01,10,4.090892546212495,6.236405202320644,1.602885682970026e-05
0.02,1,4.903484223493889,6.734778710774013,9.846666218300807e-05
0.02,2,4.770445966008884,6.9225082738058905,9.397114317029975e-05
0.02,3,4.731433370220127,6.832199062619891,8.681980515339464e-05
0.02,4,4.531388026564868,6.80613282748631,7.75e-05
0.02,5,4.351305321081361,7.34309332711356,6.664685702961344e-05
0.02,6,4.168862933543191,7.296144247055054,5.5e-05
0.02,7,3.984097808154661,7.202967473438808,4.335314297038657e-05
0.02,8,3.838349627025092,7.438799926212856,3.250000000000001e-05
0.05,1,5.06329694434778,6.0679828098842075,9.846666218300807e-05
0.05,2,4.929801819929436,6.068156651088169,9.397114317029975e-05
0.05,3,4.805747388014153,6.007719959531512,8.681980515339464e-05
0.05,4,4.694007382464053,6.141179357256208,7.75e-05
0.05,5,4.5553509014755935,6.058841160365513,6.664685702961344e-05
0.05,6,4.4536128186467865,6.086560896464756,5.5e-05
0.05,7,4.308261583100504,6.0930202688489645,4.335314297038657e-05
0.05,8,4.2735108831035555,6.216636487415859,3.250000000000001e-05
0.05,9,4.125887842320684,6.130823067256382,2.3180194846605367e-05
0.05,10,4.0586985830050795,5.878049884523664,1.602885682970026e-05
0.05,11,3.990741715502383,6.023708309446063,1.1533337816991932e-05
0.05,12,3.938882628483559,6.095928941454206,1e-05
