epoch,lr,train_loss,train_layers,train_phys,train_tv,val_loss,val_layers,val_phys,val_tv
1,9.938441702975689e-05,3.489073030984224,2.989339091884556,0.9993781972287307,0.4483976635470319,5.161010180200849,4.651354278836932,1.0192169121333532,0.4736484970365252
2,9.755282581475769e-05,3.436711129857533,2.937000900951784,0.9993218147932593,0.493494298031081,5.12413397857121,4.614638728754861,1.0188893675804138,0.507221349648067
3,9.45503262094184e-05,3.3794297816148444,2.8798187882152955,0.9991124156695693,0.5482291801651912,5.076023885181972,4.566643714904785,1.0186451843806676,0.5756117956978934
4,9.045084971874738e-05,3.307757352715108,2.8082289802494333,0.9989232910213186,0.6673058645049138,5.009461028235299,4.500126540660858,1.018527967589242,0.7057844059807914
5,8.535533905932738e-05,3.249131775614041,2.7496004353708297,0.9989059042574754,0.7838304603277747,4.959102426256452,4.449785479477474,1.018478981086186,0.7746388060706002
6,7.938926261462366e-05,3.2204519919495085,2.720902638648873,0.9989384679651973,0.8013379387001494,4.9362059491021295,4.426920924867902,1.0184206111090524,0.7470354267529079
7,7.269952498697734e-05,3.204208327763116,2.704673199511286,0.9989177931600542,0.7619047004785111,4.922442317008972,4.413175957543509,1.0183895826339722,0.7154666355678013
8,6.545084971874738e-05,3.1900620602849705,2.6905487153067518,0.9988788330732886,0.7394007702371967,4.9073894534792215,4.398130689348493,1.0183754478182112,0.7107730082103184
9,5.782172325201156e-05,3.1753311762169227,2.675829680997934,0.9988546300290236,0.7419141788980854,4.889687555176871,4.380432231085641,1.0183656215667725,0.7262479407446725
10,5.000000000000001e-05,3.1595076304763112,2.660003729720614,0.998855932434993,0.7594099818770566,4.872012393815177,4.362751909664699,1.0183716416358948,0.7471548659460885
11,4.217827674798848e-05,3.1436869599925936,2.644172597287306,0.9988730950142021,0.7784922033993166,4.85712160382952,4.347853149686541,1.0183839287076677,0.7654252137456622
12,3.454915028125264e-05,3.1295803376098177,2.630063421690642,0.9988750379476974,0.7943098180329622,4.845591902732849,4.336324325629643,1.01837956905365,0.7784316710063389
13,2.730047501302267e-05,3.118089142130382,2.6185784802508,0.998860409010702,0.8047941015727484,4.837295174598694,4.328034162521362,1.018364633832659,0.7854494707924979
14,2.0610737385376356e-05,3.109203381324882,2.609700377307721,0.9988439616872303,0.8107171014173707,4.831482223102024,4.322229317256382,1.0183481574058533,0.7888504607336861
15,1.464466094067263e-05,3.1025782449921566,2.6030832831539326,0.9988271104755686,0.8136983282530486,4.8274544307163785,4.318207766328539,1.0183352317128862,0.7903762034007481
16,9.549150281252635e-06,3.09779934029081,2.598310602245046,0.9988144049003943,0.8150327810600623,4.82477559362139,4.31553452355521,1.0183240004948206,0.7908493621008736
17,5.4496737905816115e-06,3.094503623336109,2.595019401009403,0.9988053556698472,0.8155460500005466,4.823078513145447,4.313840925693512,1.0183168394224984,0.7909874745777675
18,2.4471741852423237e-06,3.0923880392046117,2.5929063718710372,0.9988002777099609,0.8157302852886826,4.82212495803833,4.312889610018049,1.0183125393731254,0.7910298790250506
19,6.155829702431171e-07,3.0912246277083213,2.591743956750898,0.9987981301635059,0.8157878028812693,4.821697047778538,4.312462576798031,1.0183106916291373,0.7910217898232597
20,0.0,3.090732578021377,2.591252173950423,0.9987977333922884,0.8158011178472149,4.821589095251901,4.31235488823482,1.018310240336827,0.7910274607794625
