noise_scale,epoch,train_loss,val_loss,lr,noise_condition_value_mean
0.0,1,5.944687807737892,5.4422517504010886,9.961501876182148e-05,0.0
0.0,2,3.9492296318509688,3.7295433453151157,9.846666218300808e-05,0.0
0.0,3,3.127240348218092,3.4137938363211497,9.657457896300791e-05,0.0
0.0,4,2.809792952751046,3.0533013343811035,9.397114317029975e-05,0.0
0.0,5,2.5544459784208837,2.732977730887277,9.070090031310558e-05,0.0
0.0,6,2.366785492470015,2.5473436628069197,8.681980515339464e-05,0.0
0.0,7,2.179087535658879,2.4038652181625366,8.239426430539243e-05,0.0
0.0,8,1.9155880888896202,2.1540352446692332,7.75e-05,0.0
0.0,9,1.7586562277665778,2.083009260041373,7.222075445642904e-05,0.0
0.0,10,1.5894234820977966,1.9545949867793493,6.664685702961343e-05,0.0
0.0,11,1.4674066145028641,1.933379054069519,6.0873678649902325e-05,0.0
0.0,12,1.414438261914609,1.824032187461853,5.4999999999999995e-05,0.0
0.0,13,1.318685698865065,1.6668545348303658,4.912632135009767e-05,0.0
0.0,14,1.2458932399749756,1.6467518636158534,4.3353142970386564e-05,0.0
0.0,15,1.189675420077879,1.59349981376103,3.777924554357097e-05,0.0
0.0,16,1.1411208857351274,1.6246216637747628,3.250000000000001e-05,0.0
0.0,17,1.092661866501196,1.5427109513963972,2.7605735694607574e-05,0.0
0.0,18,1.065949518289139,1.518805946622576,2.3180194846605367e-05,0.0
0.0,19,1.051400963050216,1.5346582617078508,1.9299099686894426e-05,0.0
0.0,20,1.0213353117900108,1.4837875195911951,1.602885682970026e-05,0.0
0.0,21,1.0109669059070188,1.4700582027435303,1.3425421036992097e-05,0.0
0.0,22,0.9840328995861224,1.528478401047843,1.153333781699193e-05,0.0
0.0,23,0.974673324556493,1.4688678468976701,1.0384981238178534e-05,0.0
0.0,24,0.9584459137560716,1.456678867340088,1e-05,0.0
0.01,1,6.427763625757018,6.323088543755667,8.898458044336385e-05,0.1974947601556778
0.01,2,5.071097943320203,6.192598036357334,8.598923915004797e-05,0.1974947601556778
0.01,3,4.936653784851529,5.848512036459787,8.116417503995521e-05,0.1974947601556778
0.01,4,4.827856597615711,5.954426424843924,7.475133697527871e-05,0.1974947601556778
0.01,5,4.727334620347664,5.913929973329816,6.707229143426111e-05,0.1974947601556778
0.01,6,4.663405254705628,5.844247375215803,5.8512097825230736e-05,0.1974947601556778
0.01,7,4.554478602622872,5.9014928340911865,4.9500000000000004e-05,0.1974947601556778
0.01,8,4.457990866988452,6.021610600607736,4.048790217476927e-05,0.1974947601556778
0.01,9,4.351834204659533,5.9033894538879395,3.19277085657389e-05,0.1974947601556778
0.01,10,4.250131137335479,6.040985005242484,2.4248663024721296e-05,0.1974947601556778
0.01,11,4.163693826590011,6.039388043539865,1.783582496004481e-05,0.1974947601556778
0.01,12,4.11217569949022,6.174359525953021,1.3010760849952031e-05,0.1974947601556778
0.01,13,4.076947016502494,6.1000150953020364,1.0015419556636139e-05,0.1974947601556778
0.01,14,4.028765165983741,6.156020062310355,9e-06,0.1974947601556778
0.02,1,4.713618748223603,6.010464974812099,8.404099264095476e-05,0.4009458124637604
0.02,2,4.593793402856855,6.044372047696795,8.121205919726754e-05,0.4009458124637604
0.02,3,4.415795255063185,5.967982087816511,7.665505420440216e-05,0.4009458124637604
0.02,4,4.342262268066406,6.019833632877895,7.059848492109658e-05,0.4009458124637604
0.02,5,4.218906950594774,6.364755051476615,6.334605302124661e-05,0.4009458124637604
0.02,6,4.1372852681288075,6.144336325781686,5.526142572382904e-05,0.4009458124637604
0.02,7,3.985342281967846,6.329252924237933,4.675000000000001e-05,0.4009458124637604
0.02,8,3.9302896314592504,6.0851118224007745,3.8238574276170985e-05,0.4009458124637604
0.02,9,3.854406591671616,6.475533621651786,3.015394697875341e-05,0.4009458124637604
0.02,10,3.7486815167896785,6.393506186349051,2.290151507890345e-05,0.4009458124637604
0.02,11,3.6640223673920134,6.456216062818255,1.6844945795597876e-05,0.4009458124637604
0.05,1,4.606324494774662,6.176853213991437,7.909740483854565e-05,0.9577603936195374
0.05,2,4.404261738506715,6.155926874705723,7.64348792444871e-05,0.9577603936195374
0.05,3,4.278339001669813,6.268941368375506,7.214593336884908e-05,0.9577603936195374
0.05,4,4.145965198972332,6.465593474251883,6.644563286691441e-05,0.9577603936195374
0.05,5,4.061138644147275,6.440485068729946,5.961981460823209e-05,0.9577603936195374
0.05,6,3.933000126881386,6.512036596025739,5.201075362242732e-05,0.9577603936195374
0.05,7,3.8682596612332474,6.351478678839547,4.4e-05,0.9577603936195374
0.05,8,3.755583133270491,6.238872051239014,3.598924637757268e-05,0.9577603936195374
0.05,9,3.6903746448346038,6.655304602214268,2.8380185391767905e-05,0.9577603936195374
0.05,10,3.58548153692217,6.38715352330889,2.1554367133085594e-05,0.9577603936195374
