seed,noise_scale,epoch,train_loss,val_loss,lr
7,0.0,1,5.6367966239132095,5.047670704977853,9.961501876182148e-05
7,0.0,2,3.663807007803846,3.6189735616956438,9.846666218300808e-05
7,0.0,3,3.045555758832106,3.2274840218680247,9.657457896300791e-05
7,0.0,4,2.7477090145224956,2.9414304324558804,9.397114317029975e-05
7,0.0,5,2.5654321891158376,2.7192521606172835,9.070090031310558e-05
7,0.0,6,2.305273020445411,2.321504150118147,8.681980515339464e-05
7,0.0,7,2.0220429292365685,2.210438711302621,8.239426430539243e-05
7,0.0,8,1.783784366365689,2.2005052736827304,7.75e-05
7,0.0,9,1.6518016537623619,1.9597771167755127,7.222075445642904e-05
7,0.0,10,1.5620839311115777,1.8619715145656042,6.664685702961343e-05
7,0.0,11,1.426299757032252,1.7667526517595564,6.0873678649902325e-05
7,0.0,12,1.3703969699233325,1.70907495703016,5.4999999999999995e-05
7,0.0,13,1.3389354125777286,1.6122360399791174,4.912632135009767e-05
7,0.0,14,1.2343880667615292,1.6712367364338465,4.3353142970386564e-05
7,0.0,15,1.1805640868286589,1.5658938203539168,3.777924554357097e-05
7,0.0,16,1.129025385450961,1.5215445416314262,3.250000000000001e-05
7,0.0,17,1.103867671382961,1.54578697681427,2.7605735694607574e-05
7,0.0,18,1.091146385491784,1.466925893511091,2.3180194846605367e-05
7,0.0,19,1.0579365020367637,1.3953007800238473,1.9299099686894426e-05
7,0.0,20,1.016756116454281,1.3579613821847099,1.602885682970026e-05
7,0.0,21,0.9968775893325237,1.3710123470851354,1.3425421036992097e-05
7,0.0,22,0.980971363053393,1.348420364516122,1.153333781699193e-05
7,0.0,23,0.9694572535913382,1.3466998508998327,1.0384981238178534e-05
7,0.0,24,0.9633872162050275,1.343639952795846,1e-05
7,0.01,1,6.50246178925927,6.45241253716605,9.846666218300807e-05
7,0.01,2,5.204991055958307,6.392357996531895,9.397114317029975e-05
7,0.01,3,5.068321078570921,6.299959250858852,8.681980515339464e-05
7,0.01,4,4.926125042474092,6.288712467466082,7.75e-05
7,0.01,5,4.7315366019063925,6.289016485214233,6.664685702961344e-05
7,0.01,6,4.57031624352754,6.217601605824062,5.5e-05
7,0.01,7,4.463960320202272,6.352589879717145,4.335314297038657e-05
7,0.01,8,4.291656750351636,6.1795052119663785,3.250000000000001e-05
7,0.01,9,4.180446279582693,6.269017049244472,2.3180194846605367e-05
7,0.01,10,4.086476973633268,6.11512439591544,1.602885682970026e-05
7,0.01,11,4.006303082651167,6.3344822611127585,1.1533337816991932e-05
7,0.01,12,3.9557355055168495,6.182210002626691,1e-05
7,0.02,1,5.16164312077992,6.604237760816302,9.846666218300807e-05
7,0.02,2,4.829467890867546,6.118798017501831,9.397114317029975e-05
7,0.02,3,4.696316555364808,7.019044024603708,8.681980515339464e-05
7,0.02,4,4.48746233555808,7.016812188284738,7.75e-05
7,0.02,5,4.238010182309506,6.770148686000279,6.664685702961344e-05
7,0.02,6,4.048668957468289,6.675855772835868,5.5e-05
7,0.02,7,3.938052213014062,7.02631265776498,4.335314297038657e-05
7,0.02,8,3.842563479693968,6.796912704195295,3.250000000000001e-05
7,0.02,9,3.7032875623275983,7.035538128444126,2.3180194846605367e-05
7,0.05,1,5.194165272499198,6.091204745428903,9.846666218300807e-05
7,0.05,2,4.89999342676419,6.1322928837367465,9.397114317029975e-05
7,0.05,3,4.688875625382608,6.215268816266741,8.681980515339464e-05
7,0.05,4,4.496620277860272,6.079023156847272,7.75e-05
7,0.05,5,4.289448866203649,6.023512738091605,6.664685702961344e-05
7,0.05,6,4.219818261132311,5.9222709110804965,5.5e-05
7,0.05,7,4.132372550110318,5.829385961805071,4.335314297038657e-05
7,0.05,8,3.91390300864604,5.709606068474906,3.250000000000001e-05
7,0.05,9,3.793574653454681,5.707282781600952,2.3180194846605367e-05
7,0.05,10,3.696889389806719,5.638303211757115,1.602885682970026e-05
7,0.05,11,3.627317204404233,5.680373464311872,1.1533337816991932e-05
7,0.05,12,3.5749721313590435,5.669193097523281,1e-05
21,0.0,1,5.68737449930675,5.43316388130188,9.961501876182148e-05
21,0.0,2,3.919701419659515,3.819633824484689,9.846666218300808e-05
21,0.0,3,3.1376111258321733,3.375244174684797,9.657457896300791e-05
21,0.0,4,2.836228413368339,2.9463202272142683,9.397114317029975e-05
21,0.0,5,2.6006106227191528,2.7357563631875172,9.070090031310558e-05
21,0.0,6,2.3441347186245136,2.562135764530727,8.681980515339464e-05
21,0.0,7,2.0956450487250713,2.4302546977996826,8.239426430539243e-05
21,0.0,8,1.9007802347638714,2.2904037066868375,7.75e-05
21,0.0,9,1.7646153400193398,2.1440636941364835,7.222075445642904e-05
21,0.0,10,1.6176750624357765,1.977275746209281,6.664685702961343e-05
21,0.0,11,1.4983735173495847,2.0226083993911743,6.0873678649902325e-05
21,0.0,12,1.453588480380044,1.8823938710348946,5.4999999999999995e-05
21,0.0,13,1.3469590989511404,1.8983946698052543,4.912632135009767e-05
21,0.0,14,1.3161229251036004,1.706578288759504,4.3353142970386564e-05
21,0.0,15,1.2385020078118167,1.7124913249697005,3.777924554357097e-05
21,0.0,16,1.1894799773372822,1.6174498285566057,3.250000000000001e-05
21,0.0,17,1.1701295678295307,1.6349835906709944,2.7605735694607574e-05
21,0.0,18,1.127185360709233,1.5758567367281233,2.3180194846605367e-05
21,0.0,19,1.0982701369185945,1.5679473536355155,1.9299099686894426e-05
21,0.0,20,1.0776419630691187,1.5619258880615234,1.602885682970026e-05
21,0.0,21,1.0593929833440638,1.5476901531219482,1.3425421036992097e-05
21,0.0,22,1.042356893197814,1.512789351599557,1.153333781699193e-05
21,0.0,23,1.031158794218035,1.5021446772984095,1.0384981238178534e-05
21,0.0,24,1.0134582199267488,1.5320186274392265,1e-05
21,0.01,1,6.495179863118413,6.38037862096514,9.846666218300807e-05
21,0.01,2,5.253446223130867,6.303665467670986,9.397114317029975e-05
21,0.01,3,5.180614635125915,6.110126835959298,8.681980515339464e-05
21,0.01,4,5.065793236689781,5.720694201333182,7.75e-05
21,0.01,5,4.842079945464633,5.4959966114589145,6.664685702961344e-05
21,0.01,6,4.68534035469169,5.544566801616123,5.5e-05
21,0.01,7,4.5976236115640665,5.505947044917515,4.335314297038657e-05
21,0.01,8,4.390357900021681,5.233353206089565,3.250000000000001e-05
21,0.01,9,4.253346165614341,5.259607655661447,2.3180194846605367e-05
21,0.01,10,4.146876790630284,5.162231257983616,1.602885682970026e-05
21,0.01,11,4.060261455934439,5.191972970962524,1.1533337816991932e-05
21,0.01,12,3.989694346242876,5.2098947422845026,1e-05
21,0.02,1,4.983299155733478,6.5224887643541605,9.846666218300807e-05
21,0.02,2,4.702922329973819,6.601181132452829,9.397114317029975e-05
21,0.02,3,4.50677150043089,6.599843672343662,8.681980515339464e-05
21,0.02,4,4.38376907804119,6.786183084760394,7.75e-05
21,0.02,5,4.208074783211324,6.678699459348406,6.664685702961344e-05
21,0.02,6,4.0532756278763955,6.548989261899676,5.5e-05
21,0.02,7,3.9257618099895875,6.746822425297329,4.335314297038657e-05
21,0.02,8,3.7960061671128913,6.537153482437134,3.250000000000001e-05
21,0.05,1,5.059546303393236,6.254987580435617,9.846666218300807e-05
21,0.05,2,4.79880540406526,6.029866559164865,9.397114317029975e-05
21,0.05,3,4.635715868935656,5.858713831220355,8.681980515339464e-05
21,0.05,4,4.3965665689155236,5.8821033750261575,7.75e-05
21,0.05,5,4.156379073413451,5.738591602870396,6.664685702961344e-05
21,0.05,6,4.086362721315071,5.851537772587368,5.5e-05
21,0.05,7,3.9050376237328375,5.96925824029105,4.335314297038657e-05
21,0.05,8,3.7265147593483996,6.040943077632359,3.250000000000001e-05
21,0.05,9,3.6183276034113185,5.959932906287057,2.3180194846605367e-05
21,0.05,10,3.5402555038679893,6.025600910186768,1.602885682970026e-05
21,0.05,11,3.4273267361655164,6.00752820287432,1.1533337816991932e-05
21,0.05,12,3.3710680506122648,5.985140698296683,1e-05
42,0.0,1,5.944687807737892,5.4422517504010886,9.961501876182148e-05
42,0.0,2,3.9492296318509688,3.7295433453151157,9.846666218300808e-05
42,0.0,3,3.127240348218092,3.4137938363211497,9.657457896300791e-05
42,0.0,4,2.809792952751046,3.0533013343811035,9.397114317029975e-05
42,0.0,5,2.5544459784208837,2.732977730887277,9.070090031310558e-05
42,0.0,6,2.366785492470015,2.5473436628069197,8.681980515339464e-05
