noise_scale,epoch,train_loss,val_loss,unc_reg_train,unc_reg_val,lr
0.0,1,3.1716701272708265,2.496778999056135,1.055255341885695,1.0230959142957414,9.931634888554937e-05
0.0,2,1.931253717016818,2.0021354130336215,1.024828467796098,1.0277337687356132,9.728616793536588e-05
0.0,3,1.596750536961342,1.8182435716901506,1.0181695240647046,1.0063808475221907,9.397114317029975e-05
0.0,4,1.482994894483196,1.603691680090768,0.9796563653803584,0.9389343942914691,8.9471999940354e-05
0.0,5,1.3759853911043993,1.5093024798801966,0.8933132886886597,0.8433587891714913,8.392544243589426e-05
0.0,6,1.3044171048634088,1.45441050188882,0.7869298885117716,0.7279707108225141,7.749999999999999e-05
0.0,7,1.2152762288477883,1.3279689039502824,0.6732922890293065,0.6386712619236538,7.039090644965509e-05
0.0,8,1.1206790956098642,1.2664302587509155,0.581698685439665,0.5819563865661621,6.281416799501186e-05
0.0,9,0.9831622465332942,1.0826673337391444,0.5695537177484427,0.5657048991748265,5.499999999999999e-05
0.0,10,0.8775224289787349,1.1130823407854353,0.5381455928532045,0.5499797761440277,4.718583200498813e-05
0.0,11,0.780610372771078,0.9980487482888358,0.5238149183899609,0.5313692944390433,3.960909355034492e-05
0.0,12,0.6836501546760103,0.9581933873040336,0.49910187098517345,0.5078772647040231,3.250000000000001e-05
0.0,13,0.6247019068296276,0.8970080528940473,0.48386761857502497,0.49504111068589346,2.6074557564105733e-05
0.0,14,0.5781745590380768,0.8438848001616341,0.46869285782771325,0.4764759710856846,2.0528000059645997e-05
0.0,15,0.5303194618491984,0.8445482424327305,0.4525782528208263,0.4647369810513088,1.602885682970027e-05
0.0,16,0.4931346685139101,0.762973930154528,0.43607493745746895,0.4468762235982077,1.2713832064634127e-05
0.0,17,0.4608133745504849,0.7971578751291547,0.42515566544746286,0.4404001917157854,1.068365111445064e-05
0.0,18,0.45001393111784066,0.786506175994873,0.4191760643204646,0.4373679459095001,1e-05
0.01,1,2.3869575173107545,2.4553589480263844,0.7707160302062532,0.9638835872922625,9.846666218300807e-05
0.01,2,2.0921314420984753,2.3866332258496965,1.0739063060105736,1.047220264162336,9.397114317029975e-05
0.01,3,1.9784306216595777,2.312950985772269,1.1224178093582837,1.1031488691057478,8.681980515339464e-05
0.01,4,1.9064407206293363,2.2824409689222063,1.1299463110183603,1.080223628452846,7.75e-05
0.01,5,1.8366889366463048,2.2574668271201,1.119551683539775,1.0807637657438005,6.664685702961344e-05
0.01,6,1.799694646650286,2.2875958510807584,1.144669548789067,1.0331127899033683,5.5e-05
0.01,7,1.7221493062688344,2.2079127175467357,1.2098263030621543,1.1195345606122697,4.335314297038657e-05
0.01,8,1.6765824752067453,2.181938716343471,1.1679682037723598,1.142528006008693,3.250000000000001e-05
0.01,9,1.6197925619225004,2.1527647290910994,1.1656348634122022,1.161933490208217,2.3180194846605367e-05
0.01,10,1.5918620842606275,2.1496413435254778,1.2094718306811887,1.0770773036139352,1.602885682970026e-05
0.01,11,1.5563576114711477,2.131576214517866,1.1364897187076397,1.07561913558415,1.1533337816991932e-05
0.01,12,1.5321607518551954,2.1414983613150462,1.143186901932332,1.0721815483910697,1e-05
0.02,1,1.9079608223331508,2.2508034024919783,1.1649047509947819,1.272978527205331,9.846666218300807e-05
0.02,2,1.7956791297713321,2.156950984682356,1.2571852990050814,1.2579498205866133,9.397114317029975e-05
0.02,3,1.7290869648776837,2.2957219736916676,1.2537081810965467,1.0877479485103063,8.681980515339464e-05
0.02,4,1.677823529314639,2.286678842135838,1.2241649663270409,1.0841169272150313,7.75e-05
0.02,5,1.6305017791577239,2.2155982766832625,1.2116160357176369,1.253221035003662,6.664685702961344e-05
0.02,6,1.5735122481388832,2.2078846863337924,1.1855994978947426,1.169758370944432,5.5e-05
0.02,7,1.4812326431274414,2.215268135070801,1.2320500398749736,1.1498279316084725,4.335314297038657e-05
0.02,8,1.4886928031693643,2.197916030883789,1.1913237785225483,1.1344841718673706,3.250000000000001e-05
0.02,9,1.383981057957037,2.203989710126604,1.1789299676667397,1.1383681212152754,2.3180194846605367e-05
0.05,1,1.7998388133831877,2.0991612672805786,1.253609064799636,1.2246075868606567,9.846666218300807e-05
0.05,2,1.6693194922226577,1.9857314484460014,1.2052934596787637,1.1624208092689514,9.397114317029975e-05
0.05,3,1.5858627317556695,2.0878179584230696,1.2657444868514787,1.16107896396092,8.681980515339464e-05
0.05,4,1.556108510316308,2.0433891160147533,1.3294044039142665,1.1633901000022888,7.75e-05
0.05,5,1.489281442627978,1.967286501611982,1.2133085745484082,1.2019232085772924,6.664685702961344e-05
0.05,6,1.4289911967604907,2.124898041997637,1.262147501333436,1.0816432918821062,5.5e-05
0.05,7,1.3892327422526345,1.9728505100522722,1.199544725133412,1.1671994754246302,4.335314297038657e-05
0.05,8,1.3318219238252782,1.9833400249481201,1.2212221960523235,1.1485221130507333,3.250000000000001e-05
0.05,9,1.2879024797411107,2.0099611963544572,1.21178821485434,1.147147195679801,2.3180194846605367e-05
0.05,10,1.2673941370266586,2.0036522150039673,1.2191166957812523,1.0966219731739588,1.602885682970026e-05
0.05,11,1.2270045529550582,1.951382807322911,1.1797290133006537,1.147486354623522,1.1533337816991932e-05
0.05,12,1.2062993957035577,1.9750163044248308,1.2062901792241567,1.114416982446398,1e-05
